V1.1.68					/\\\ Open RewardQuest ///\																				
																									
																									
																									
																									
			Quest Name		Goal Number (A=Active/I=Inactive)	A	A	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
			[Journey] Upgrading your weapon		2	Goal 1	Goal 2	Goal 3	Goal 4	Goal 5	Goal 6	Goal 7	Goal 8	Goal 9	Goal 10	Goal 11	Goal 12	Goal 13	Goal 14	Goal 15	Goal 16	Goal 17	Goal 18	Goal 19	Goal 20
			Start = NPC (Region)		Goal Type	Interact	InteractFinish																		
			General Acheren (Tutorial)		Step No	1	2																		
			Or Object (Region)		Repeat No	1	1																		
					Goal NPC Name (Region)	Dhendr (Tutorial)	General Acheren (Tutorial)																		
			Start Type		Or Object Name (Region)																				
			RewardQuest		Collect Item																				
			Summary		Goal Journal Text	Browse Dhendr’s store	Return to General Acheren.																		
			Speak with Dhendr at his shop north of the bindstone on the hill and browse his wares for a new weapon. Return to General Acheren afterwards.		Goal Interact Text	Dhendr says, « Please, take anything you need. We must ensuire you are well equiped for the battles ahead. »																			
			Accept Text		Advance Text																				
					X Loc	29054	29636																		
			Finish Text		Y Loc	23296	23296																		
					Zone Id	Grenlock's Sound	Grenlock's Sound																		
			Level Min																						
			1		Money	749																			
			Max		XP	900																			
			10		CLXP	0																			
			Max count		RP	0																			
			1		BP	0																			
			Story Text																						
			You seem to have a prematured ability for dispatching the foes of Midgard. Hafheim is in your debt for helping to protect her shores.\n\nThat debt will no go unpaid. Visit Dhendr the weapon merchant at his shop north of the bindstone on the hill, he has an excellent selection of weapons which he is donating for our cause.\n\nSpeak with him and browse his wares. Once you have selected a new weapon, return to me. There are important matters at hand.																						
			Quest Dependencies			Slot 1	Slot 2	Slot 3	Slot 4	Slot 5	Slot 6	Slot 7	Slot 8												
			[Journey] Eliminating the Celts		Final reward																				
			Class Type / Script 		Optional reward																				
					Optional reward nb																				
			Timestamp																						
			2023-10-31 18:55:43	2023-10-31 18:55:43																					
																									
																									
																									
			Classes																						
																									
	Albion		Midgard 		Hibernia																				
	Armsman		Berserker		Animist																				
	Cabalist		Bonedancer		Bainshee																				
	Cleric		Healer		Bard																				
	Friar		Hunter		Blademaster																				
	Heretic		Runemaster		Champion																				
	Infiltrator		Savage		Druid																				
	Mercenary		Shadowblade		Eldritch																				
	Minstrel		Shaman		Enchanter																				
	Necromancer		Skald		Hero																				
	Paladin		Spiritmaster		Mentalist																				
	Reaver		Thane		Nightshade																				
	Scout		Valkyrie		Ranger																				
	Sorcerer		Warlock		Valewalker																				
	Theurgist		Warrior		Vampiir																				
	Wizard		MaulerMid		Warden																				
	MaulerAlb		Forester		MaulerHib																				
	Acolyte		Guardian		Mystic																				
	AlbionRogue		Mage		Naturalist																				
	Disciple		Magician		Seer																				
	Elementalist		MidgardRogue		Stalker																				
	Fighter				Viking																				
																									
		x	ALL																						
